Investigation Discovery HD Hindi,114,Hindi,GEC,224.2.2.16,239.11.11.11,1234,10354,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Investigation_Discovery_HD_Hindi/Investigation_Discovery_HD_Hindi.m3u8,,,,,,,,,,
Zee Anmol,117,Hindi,GEC,224.2.2.23,239.11.11.10,1244,10141,FALSE,BUSY,FALSE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Zee_Anmol/Zee_Anmol.m3u8,,,,,,,,,,
Zee TV,119,Hindi,GEC,224.2.2.15,239.11.11.11,1238,10373,FALSE,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Zee_TV/Zee_TV.m3u8,,,,,,,,,,
AND TV,120,Hindi,GEC,224.2.2.21,239.11.11.10,1242,10170,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/AND_TV/AND_TV.m3u8,,,,,,,,,,
MANORANJAN PRIME,122,Hindi,Kids,224.2.2.4,239.11.11.15,3000,10084,FALSE,PROGRESS,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/MANORANJAN_PRIME/MANORANJAN_PRIME.m3u8,,,,,,,,,,currently un available :802 error
MANORANJAN GRAND,123,Hindi,Entertainment,224.2.2.4,239.11.11.15,3088,10188,,PROGRESS,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/MANORANJAN_GRAND/MANORANJAN_GRAND.m3u8,,,,,,,,,,currently unavailable :802 error code
Big Magic,124,Hindi,GEC,224.2.2.14,239.11.11.10,1240,10161,FALSE,BUSY,FALSE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Big_Magic/Big_Magic.m3u8,,,,,,,,,,
Zee Cinema,125,Hindi,Movies,224.2.2.15,239.11.11.10,1240,10153,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Zee_Cinema/Zee_Cinema.m3u8,,,,,,,,,,
WOW CINEMA ONE,127,Hindi,Entertainment,224.2.2.4,239.11.11.15,3152,10335,FALSE,BUSY,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/WOW_CINEMA_ONE/WOW_CINEMA_ONE.m3u8,,,,,,,,,,
And Pictures,128,Hindi,Movies,224.2.2.14,,1242,,FALSE,BUSY,FALSE,Trans07-13022,https://192.168.200.125:12000/msos/master/t13/And_Pictures/And_Pictures.m3u8,,,,,,,,,,
Zee Bollywood,130,Hindi,Movies,224.2.2.21,239.11.11.10,1248,10173,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Zee_Bollywood/Zee_Bollywood.m3u8,,,,,,,,,,
Action Cinema,131,Hindi,Movies,224.2.2.15,239.11.11.10,1236,10151,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Action_Cinema/Action_Cinema.m3u8,,,,,,,,,,
SADHNA BHAKTI,132,Hindi,GEC,224.2.2.4,239.11.11.15,3408,10061,FALSE,BUSY,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/SADHNA_BHAKTI/SADHNA_BHAKTI.m3u8,,,,,,,,,,unavaialable
Zee Classic,133,Hindi,Movies,224.2.2.15,239.11.11.10,1244,10155,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Zee_Classic/Zee_Classic.m3u8,,,,,,,,,,
Akash Ath,134,Bangla,Entertainment,224.2.2.3,239.11.11.16,3372,15084,FALSE,BUSY,TRUE,Trans07-13022,https://192.168.200.125:12000/msos/master/t13/Akash_Ath/Akash_Ath.m3u8,,,,,,,,,,
Zee Anmol CInema,135,Hindi,Movies,224.2.2.14,239.11.11.10,1234,10158,FALSE,BUSY,FALSE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Zee_Anmol_CInema/Zee_Anmol_CInema.m3u8,,,,,,,,,,
Zing,137,Hindi,Music,224.2.2.14,239.11.11.10,1238,10160,FALSE,BUSY,FALSE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Zing/Zing.m3u8,,,,,,,,,,
Zee Talkies HD,145,Marathi,Movies,224.2.2.23,239.11.11.10,1234,10193,FALSE,BUSY,FALSE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Zee_Talkies_HD/Zee_Talkies_HD.m3u8,,,,,,,,,,
Zee Cinema HD,146,Hindi,Movies,224.2.2.23,239.11.11.10,1238,10139,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Zee_Cinema_HD/Zee_Cinema_HD.m3u8,,,,,,,,,,
NICK HD PLUS,150,English,Kids,224.2.2.35,239.11.11.10,6010,10010,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/NICK_HD_PLUS/NICK_HD_PLUS.m3u8,,,,,,,,,,
NICK,151,Hindi,Kids,224.2.2.22,239.11.11.10,1244,10114,FALSE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/NICK/NICK.m3u8,,,,,,,,,,
Pogo,153,Hindi,Kids,224.2.2.22,239.11.11.11,1236,10355,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Pogo/Pogo.m3u8,,,,,,,,,,
MK TUNES,545,Tamil,Music,224.2.2.5,239.11.11.15,3748,10247,,BUSY,TRUE,Trans06-13013,https://192.168.200.125:12000/msos/master/t12/MK_TUNES/MK_TUNES.m3u8,,,,,,,,,,working
MTV,202,Hindi,Music,224.2.2.22,239.11.11.11,1238,10181,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/MTV/MTV.m3u8,,,,,,,,,,working
News 18 Bihar,232,Hindi,News,224.2.2.36,239.11.11.13,3006,13004,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/News_18_Bihar/News_18_Bihar.m3u8,,,,,,,,,,working
PITAARA,197,Punjabi,Movies,224.2.2.4,239.11.11.15,3432,10008,FALSE,BUSY,TRUE,Trans01-13012,https://192.168.200.125:12000/msos/master/t8/PITAARA/PITAARA.m3u8,,,,,,,,,,working
SONY SPORTS TEN 5 HD,811,English,Sports,224.2.2.31,239.11.11.13,1240,10079,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/SONY_SPORTS_TEN_5_HD/SONY_SPORTS_TEN_5_HD.m3u8,,,,,,,,,,working
SRI SANKARA TV,898,Tamil,Devotional,224.2.2.5,239.11.11.15,3164,10096,FALSE,BUSY,TRUE,Trans06-13013,https://192.168.200.125:12000/msos/master/t12/SRI_SANKARA_TV/SRI_SANKARA_TV.m3u8,,,,,,,,,,working
